gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,True,False,1,False,,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.85,29.85,False
Male,0,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95,1936.3,False
Male,0,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.85,107.7,True
Male,0,False,False,45,False,,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.3,1903.5,False
Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.7,141.4,True
Female,0,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.65,797.2,True
Male,0,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.1,1960.2,False
Female,0,False,False,10,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,297.5,False
Female,0,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.8,2934.4,True
Male,0,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.15,3481.3,False
Male,0,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95,649.35,False
Male,0,False,False,16,True,False,No,,,,,,,Two year,False,Credit card (automatic),18.95,303.2,False
Male,0,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.35,5820.3,False
Male,0,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.7,5081.3,True
Male,0,False,False,25,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2637.5,False
