iter	Passed	Remaining
0	6	6866
1	10	5434
2	14	4810
3	18	4672
4	24	4905
5	28	4780
6	43	6182
7	47	5917
8	53	5914
9	57	5674
10	60	5444
11	63	5253
12	70	5350
13	74	5246
14	78	5177
15	82	5102
16	88	5122
17	92	5057
18	96	4966
19	102	5034
20	106	4975
21	110	4915
22	114	4856
23	121	4921
24	124	4863
25	128	4799
26	133	4818
27	137	4761
28	140	4699
29	143	4642
30	146	4586
31	150	4562
32	153	4510
33	157	4464
34	163	4512
35	167	4482
36	170	4441
37	174	4407
38	178	4407
39	182	4381
40	185	4345
41	189	4313
42	193	4313
43	197	4284
44	200	4261
45	204	4241
46	210	4259
47	213	4240
48	217	4219
49	221	4204
50	227	4226
51	231	4218
52	235	4207
53	242	4255
54	246	4239
55	250	4221
56	254	4206
57	260	4236
58	266	4245
59	269	4226
60	276	4251
61	282	4277
62	291	4330
63	297	4348
64	306	4406
65	310	4393
66	339	4721
67	344	4715
68	348	4700
69	354	4709
70	357	4681
71	361	4654
72	364	4628
73	370	4633
74	374	4615
75	377	4594
76	384	4607
77	388	4592
78	392	4572
79	395	4551
80	403	4573
81	407	4565
82	412	4553
83	416	4539
84	419	4518
85	423	4499
86	431	4529
87	436	4528
88	440	4507
89	445	4508
90	449	4488
91	452	4469
92	456	4450
93	461	4448
94	465	4433
95	469	4419
96	473	4408
97	479	4410
98	482	4393
99	486	4382
100	496	4420
101	500	4406
102	504	4390
103	509	4388
104	512	4370
105	516	4354
106	519	4339
107	524	4335
108	528	4320
109	532	4305
110	535	4290
111	540	4288
112	544	4274
113	548	4260
114	551	4247
115	557	4249
116	561	4238
117	565	4229
118	569	4216
119	573	4207
120	577	4196
121	581	4182
122	585	4177
123	589	4163
124	592	4150
125	596	4140
126	603	4145
127	606	4131
128	610	4119
129	613	4106
130	621	4119
131	624	4105
132	628	4094
133	633	4093
134	637	4083
135	640	4069
136	643	4055
137	648	4051
138	651	4037
139	655	4024
140	658	4012
141	661	3998
142	667	3998
143	670	3986
144	674	3974
145	677	3964
146	683	3966
147	686	3954
148	690	3941
149	693	3929
150	698	3925
151	701	3912
152	704	3900
153	707	3888
154	712	3886
155	716	3875
156	719	3864
157	723	3853
158	726	3844
159	731	3841
160	734	3829
161	738	3818
162	741	3807
163	746	3803
164	749	3792
165	752	3781
166	756	3770
167	763	3782
168	767	3772
169	771	3765
170	777	3769
171	780	3755
172	783	3746
173	787	3739
174	792	3738
175	796	3729
176	800	3721
177	804	3713
178	812	3725
179	816	3720
180	820	3711
181	824	3706
182	829	3702
183	832	3692
184	847	3731
185	852	3732
186	857	3726
187	861	3719
188	864	3709
189	871	3713
190	875	3707
191	879	3699
192	884	3698
193	888	3689
194	891	3681
195	895	3672
196	902	3677
197	905	3668
198	908	3656
199	911	3646
200	916	3642
201	920	3635
202	923	3626
203	926	3617
204	931	3614
205	935	3607
206	939	3598
207	943	3591
208	948	3591
209	953	3585
210	956	3577
211	960	3569
212	965	3566
213	968	3557
214	972	3549
215	975	3540
216	979	3534
217	982	3525
218	986	3516
219	989	3507
220	992	3498
221	997	3496
222	1000	3487
223	1004	3479
224	1007	3471
225	1012	3468
226	1016	3461
227	1020	3455
228	1024	3448
229	1029	3446
230	1033	3439
231	1036	3432
232	1040	3424
233	1045	3421
234	1048	3413
235	1051	3404
236	1055	3396
237	1060	3394
238	1063	3386
239	1066	3377
240	1069	3368
241	1073	3362
242	1077	3356
243	1081	3350
244	1084	3343
245	1090	3342
246	1093	3334
247	1097	3328
248	1101	3322
249	1106	3320
250	1110	3314
251	1114	3308
252	1118	3301
253	1123	3299
254	1126	3292
255	1130	3285
256	1134	3279
257	1139	3276
258	1143	3270
259	1146	3262
260	1149	3254
261	1154	3252
262	1158	3245
263	1161	3239
264	1165	3232
265	1170	3230
266	1174	3224
267	1178	3219
268	1182	3213
269	1189	3216
270	1193	3210
271	1197	3203
272	1204	3206
273	1208	3202
274	1212	3195
275	1216	3191
276	1220	3184
277	1223	3177
278	1227	3171
279	1233	3170
280	1236	3163
281	1239	3156
282	1242	3148
283	1248	3148
284	1252	3142
285	1256	3136
286	1259	3130
